endTime,artistName,trackName,msPlayed
2023-03-05 22:40,Cheat Codes,Bets On Us,178945
2023-03-06 02:12,ODESZA,Falls,1280
2023-03-06 02:13,Unknown Artist,Unknown Track,10776
2023-03-06 02:17,Gin Blossoms,Follow You Down - Edit,134708
2023-03-06 12:44,TIMØ,Conquistar El Planeta,162800
2023-03-06 12:48,TIMØ,A Veces,176400
2023-03-06 12:51,TIMØ,"Espejito, Espejito",148360
2023-03-06 12:54,TIMØ,Ella Es,195573
2023-03-06 12:57,TIMØ,Canción De Amor,171680
2023-03-06 13:09,TIMØ,Nicotina,193257
2023-03-06 13:10,TIMØ,Cinco A Cero,78841
2023-03-06 13:14,Taylor Swift,The Archer - Live From Paris,210960
2023-03-06 13:15,Taylor Swift,Death By A Thousand Cuts - Live From Paris,50726
2023-03-06 13:20,Taylor Swift,Cornelia Street - Live From Paris,296013
2023-03-06 13:23,Taylor Swift,The Man - Live From Paris,219385
2023-03-06 13:38,Taylor Swift,Daylight - Live From Paris,426944
2023-03-06 13:41,Taylor Swift,You Need To Calm Down - Live From Paris,203960
2023-03-06 13:42,Taylor Swift,Lover - Live From Paris,33242
2023-03-06 13:45,A Happy Birthday Song,Happy Birthday Mom,895
2023-03-06 13:45,Happy Occasion Singers,Happy Birthday to You (Portuguese Version),53269
2023-03-06 13:45,Unknown Artist,Unknown Track,4506
2023-03-06 13:48,Alan Walker,Tired,192111
2023-03-06 13:52,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534
2023-03-06 13:53,SLANDER,Superhuman,12016
2023-03-06 14:35,Unknown Artist,Unknown Track,8739
2023-03-06 14:35,Major Lazer,Light It Up - Remix,2090
2023-03-06 14:35,Lost Kings,Marathon (feat. Cosmos & Creature),1983
2023-03-06 14:38,Marshmello,El Merengue,183898
2023-03-06 14:41,KAROL G,TQG,171401
2023-03-06 14:52,Yandel,Yandel 150,125248
2023-03-06 14:56,Ozuna,Hey Mor,196600
2023-03-06 14:59,Arcángel,La Jumpa,213012
2023-03-06 15:43,Pocoyo,La Ducha de Pato,6016
2023-03-06 15:44,Gisela Viviano,Canción Apertura,768
2023-03-06 15:44,Elenco de Opa Popa Dupa,Los Sentidos,554
2023-03-06 15:44,Julieta Nair Calvo,"El Juego del Espejo - From ""La Música de Playground""/Soundtrack",2730
2023-03-06 15:44,Luis Ángel Gómez Jaramillo,El Latido de mi Corazón,1536
2023-03-06 15:45,Quevedo,VISTA AL MAR,25024
2023-03-06 16:57,Taylor Swift,Look What You Made Me Do,1727
2023-03-06 16:57,Dawin,Jumpshot,3648
2023-03-06 16:57,Arcángel,La Jumpa,6592
2023-03-06 16:57,Arcángel,La Jumpa,70549
2023-03-06 17:04,Arcángel,La Jumpa,146773
2023-03-06 20:15,Arcángel,La Jumpa,255693
2023-03-06 20:18,Gorillaz,Tormenta (feat. Bad Bunny),193463
2023-03-06 20:23,Quevedo,VISTA AL MAR,180672
2023-03-06 20:26,Ozuna,Hey Mor,196600
2023-03-06 20:32,Mora,MEMORIAS,228750
2023-03-06 20:34,Bad Bunny,Agosto,139041
2023-03-06 21:00,J Balvin,UN PESO,243387
2023-03-06 21:00,Danny Ocean,Volare,1045
2023-03-06 21:03,KAROL G,TQG,197933
2023-03-06 21:06,Quevedo,PUNTO G,151324
2023-03-06 21:08,Rels B,cómo dormiste?,112572
2023-03-06 21:10,3AM,Emeycé,118461
2023-03-06 21:11,Arcángel,La Jumpa,48661
2023-03-06 21:14,Bad Bunny,LA NOCHE DE ANOCHE,203200
2023-03-06 21:29,Taylor Swift,I Did Something Bad,72640
2023-03-06 21:33,Ñengo Flow,Gato de Noche,227013
2023-03-06 21:36,Gorillaz,Tormenta (feat. Bad Bunny),193463
2023-03-06 21:39,3AM,Emeycé,176222
2023-03-06 23:36,TIMØ,Conquistar El Planeta,162800
2023-03-06 23:36,TIMØ,A Veces,22053
2023-03-06 23:42,TIMØ,"Espejito, Espejito",148360
2023-03-06 23:45,TIMØ,Ella Es,195573
2023-03-06 23:48,TIMØ,Canción De Amor,171680
2023-03-06 23:49,TIMØ,Nicotina,53816
2023-03-07 01:03,Hannah Montana,Rock Star,178560
2023-03-07 01:03,Quevedo,VISTA AL MAR,151517
2023-03-07 01:05,Jonas Brothers,S.O.S.,153346
2023-03-07 01:09,Big Time Rush,Boyfriend,201040
2023-03-07 01:11,Taylor Swift,Mine,156476
2023-03-07 03:54,La Oreja de Van Gogh,Rosas,237026
2023-03-07 04:03,Yuri,Detrás de Mi Ventana,223979
2023-03-07 04:07,Shakira,Antologia,254240
2023-03-07 04:11,Pandora,Cómo Te Va Mi Amor,222413
2023-03-07 04:14,Luis Miguel,Por Debajo De La Mesa,184080
2023-03-07 04:18,Shakira,Si Te Vas,210266
2023-03-07 04:21,Fonseca,Te Mando Flores,228680
2023-03-07 13:29,LAGOS,No Se Acaba Hasta Que Acabe,186832
2023-03-07 13:32,Sebastian Yatra,Una Noche Sin Pensar,161173
2023-03-07 13:35,KAROL G,TQG,197933
2023-03-07 13:39,Gorillaz,Tormenta (feat. Bad Bunny),129745
2023-03-07 13:39,Taylor Swift,ME! - Live From Paris,1792
2023-03-07 13:43,Taylor Swift,The Archer - Live From Paris,210960
2023-03-07 13:46,Taylor Swift,Death By A Thousand Cuts - Live From Paris,199066
2023-03-07 13:51,Taylor Swift,Cornelia Street - Live From Paris,296013
2023-03-07 13:52,Taylor Swift,The Man - Live From Paris,77825
2023-03-07 14:13,Taylor Swift,Daylight - Live From Paris,262320
2023-03-07 14:16,Taylor Swift,You Need To Calm Down - Live From Paris,157346
2023-03-07 14:19,Taylor Swift,Lover - Live From Paris,229733
2023-03-07 14:20,Mallrat,Wish on an Eyelash,58929
2023-03-07 14:24,Phoebe Bridgers,Motion Sickness,229760
2023-03-07 14:30,The 1975,About You,326490
2023-03-07 14:32,Fanny Lu,Tú No Eres Para Mi,190374
2023-03-07 14:34,Lana Del Rey,Cinnamon Girl,262349
2023-03-07 14:37,Novo Amor,Halloween,154773
2023-03-07 14:41,Taylor Swift,Clean,271000
2023-03-07 14:43,Harry Styles,Keep Driving,140241
2023-03-07 14:47,Phoebe Bridgers,ICU,190093
2023-03-07 14:51,The 1975,Robbers,254509
2023-03-07 14:54,Stephen Sanchez,Hey Girl,185906
2023-03-07 14:55,Troye Sivan,Strawberries & Cigarettes,40209
2023-03-07 15:21,SYML,Here Comes the Sun,981
2023-03-07 15:21,Phoebe Bridgers,Chinese Satellite,810
2023-03-07 15:21,5 Seconds of Summer,Ghost Of You,159509
2023-03-07 15:21,Taylor Swift,Daylight,8682
2023-03-07 15:21,Lana Del Rey,Happiness is a butterfly,682
2023-03-07 15:24,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-03-07 15:28,KAROL G,TQG,197933
2023-03-07 15:30,Sebastian Yatra,Una Noche Sin Pensar,161173
2023-03-07 15:33,Miranda!,Uno los Dos,122880
2023-03-07 15:43,Maluma,Mojando Asientos (feat. Feid),110144
2023-03-07 15:47,Arcángel,La Jumpa,251882
2023-03-07 15:53,Arcángel,La Jumpa,255693
2023-03-07 15:56,Gorillaz,Tormenta (feat. Bad Bunny),193463
2023-03-07 15:59,Manuel Turizo,La Bachata,162637
2023-03-07 16:02,Quevedo,VISTA AL MAR,180672
2023-03-07 16:05,Ozuna,Hey Mor,196600
2023-03-07 16:06,Jay Wheeler,La Curiosidad (feat. Myke Towers) - Mixed,93652
2023-03-07 16:09,Bad Bunny,Agosto,139041
2023-03-07 16:13,Mora,MEMORIAS,228750
2023-03-07 16:15,Danny Ocean,Volare,147598
2023-03-07 16:18,Quevedo,PUNTO G,151324
2023-03-07 16:21,KAROL G,TQG,197933
2023-03-07 16:24,TINI,La Triple T,167674
2023-03-07 16:27,Myke Towers,Ande Con Quien Ande,208734
2023-03-07 16:31,Maluma,Mojando Asientos (feat. Feid),252162
2023-03-07 16:47,Danny Ocean,Fuera del mercado,128228
2023-03-07 16:51,Fleetwood Mac,Dreams - 2004 Remaster,257800
2023-03-07 16:55,Fleetwood Mac,Everywhere - 2017 Remaster,226653
